COUNTY,MOMBASA,,,
,Age,Male,Female,Total
BUNGOMA,BUNGOMA,,,
BUNGOMA,Total,"91,911","98,195","190,106"
BUNGOMA,0,"2,313","2,268","4,581"
BUNGOMA,1,"2,365","2,386","4,751"
BUNGOMA,2,"2,185","2,244","4,429"
BUNGOMA,3,"2,381","2,384","4,765"
BUNGOMA,4,"2,318","2,370","4,688"
BUNGOMA,0 - 4,"11,562","11,652","23,214"
BUNGOMA,5,"2,329","2,357","4,686"
BUNGOMA,6,"2,348","2,348","4,696"
BUNGOMA,7,"2,392","2,377","4,769"
BUNGOMA,8,"2,158","2,242","4,400"
BUNGOMA,9,"2,523","2,516","5,039"
BUNGOMA,CD LO,"11,750","11,840","23,590"
BUNGOMA,10,"2,527","2,515","5,042"
BUNGOMA,11,"2,217","2,369","4,586"
BUNGOMA,12,"2,487","2,563","5,050"
BUNGOMA,13,"2,411","2,664","5,075"
BUNGOMA,14,"2,246","2,491","4,737"
BUNGOMA,10-14,"11,888","12,602","24,490"
BUNGOMA,15,"2,226","2,432","4,658"
BUNGOMA,16,"2,103","2,380","4,483"
BUNGOMA,17,"2,397","2,589","4,986"
BUNGOMA,18,"1,905","1,995","3,900"
BUNGOMA,19,"2,144","2,251","4,395"
BUNGOMA,15-19,"10,775","11,647","22,422"
BUNGOMA,20,"1,807","2,177","3,984"
BUNGOMA,21,"1,692","2,051","3,743"
BUNGOMA,22,"1,679","1,993","3,672"
BUNGOMA,23,"1,815","2,303","4,118"
BUNGOMA,24,"1,636","2,095","3,731"
BUNGOMA,20-24,"8,629","10,619","19,248"
BUNGOMA,25,"1,906","2,357","4,263"
BUNGOMA,26,"1,556","1,910","3,466"
BUNGOMA,27,"1,677","1,967","3,644"
BUNGOMA,28,"1,297","1,608","2,905"
BUNGOMA,29,"1,483","1,667","3,150"
BUNGOMA,25-29,"7,919","9,509","17,428"
BUNGOMA,30,"1,930","2,195","4,125"
BUNGOMA,31,"1,286","1,498","2,784"
BUNGOMA,32,"1,724","2,011","3,735"
BUNGOMA,33,"1,322","1,434","2,756"
BUNGOMA,34,"1,137","1,334","2,471"
BUNGOMA,30-34,"7,399","8,472","15,871"
BUNGOMA,35,"1,525","1,478","3,003"
BUNGOMA,36,"1,138","1,068","2,206"
BUNGOMA,37,"1,091","1,043","2,134"
BUNGOMA,38,896,911,"1,807"
BUNGOMA,39,973,939,"1,912"
BUNGOMA,35-39,"5,623","5,439","11,062"
BUNGOMA,40,"1,211","1,131","2,342"
BUNGOMA,41,935,"1,014","1,949"
BUNGOMA,42,988,947,"1,935"
BUNGOMA,43,919,813,"1,732"
BUNGOMA,44,650,605,"1,255"
BUNGOMA,40-44,"4,703","4,510","9,213"
BUNGOMA,45,996,937,"1,933"
BUNGOMA,46,682,656,"1,338"
BUNGOMA,47,726,663,"1,389"
BUNGOMA,48,501,506,"1,007"
BUNGOMA,49,581,543,"1,124"
BUNGOMA,45-49,"3,486","3,305","6,791"
BUNGOMA,50,699,717,"1,416"
BUNGOMA,51,522,484,"1,006"
BUNGOMA,52,500,448,948
BUNGOMA,53,390,423,813
BUNGOMA,54,432,427,859
BUNGOMA,50-54,"2,543","2,499","5,042"
BUNGOMA,55,447,439,886
BUNGOMA,56,453,443,896
BUNGOMA,57,440,447,887
BUNGOMA,58,334,367,701
BUNGOMA,59,445,401,846
BUNGOMA,55-59,"2,119","2,097","4,216"
BUNGOMA,60,424,401,825
BUNGOMA,61,306,323,629
BUNGOMA,62,258,252,510
BUNGOMA,63,251,283,534
BUNGOMA,64,211,211,422
BUNGOMA,60-64,"1,450","1,470","2,920"
BUNGOMA,65,233,247,480
BUNGOMA,66,155,170,325
BUNGOMA,67,183,207,390
BUNGOMA,68,103,106,209
BUNGOMA,69,164,178,342
BUNGOMA,65-69,838,908,"1,746"
BUNGOMA,70,179,209,388
BUNGOMA,71,129,128,257
BUNGOMA,72,113,152,265
BUNGOMA,73,102,95,197
BUNGOMA,74,80,95,175
BUNGOMA,70-74,603,679,"1,282"
BUNGOMA,75,57,115,172
BUNGOMA,76,56,86,142
BUNGOMA,77,67,106,173
BUNGOMA,78,43,41,84
BUNGOMA,79,55,57,112
BUNGOMA,75-79,278,405,683
BUNGOMA,80,56,77,133
BUNGOMA,81,32,39,71
BUNGOMA,82,32,42,74
BUNGOMA,83,39,68,107
BUNGOMA,84,19,29,48
BUNGOMA,80-84,178,255,433
BUNGOMA,85,27,50,77
BUNGOMA,86,24,29,53
BUNGOMA,87,37,54,91
BUNGOMA,88,9,15,24
BUNGOMA,89,13,27,40
BUNGOMA,85-89,110,175,285
BUNGOMA,90,13,20,33
BUNGOMA,91,6,13,19
BUNGOMA,92,6,11,17
BUNGOMA,93,6,12,18
BUNGOMA,94,3,4,7
BUNGOMA,90-94,34,60,94
BUNGOMA,95,8,17,25
BUNGOMA,96,2,8,10
BUNGOMA,97,4,6,10
BUNGOMA,98,-,5,5
BUNGOMA,99,1,2,3
BUNGOMA,95-99,15,38,53
BUNGOMA,100+,7,14,21
BUNGOMA,Not Stated,2,-,2
BUSIA,BUSIA,,,
BUSIA,Total,"54,963","58,790","113,753"
BUSIA,0,"1,490","1,431","2,921"
BUSIA,1,"1,488","1,466","2,954"
BUSIA,2,"1,395","1,464","2,859"
BUSIA,3,"1,445","1,533","2,978"
BUSIA,4,"1,484","1,430","2,914"
BUSIA,0 - 4,"7,302","7,324","14,626"
BUSIA,5,"1,335","1,318","2,653"
BUSIA,6,"1,315","1,450","2,765"
BUSIA,7,"1,415","1,335","2,750"
BUSIA,8,"1,303","1,382","2,685"
BUSIA,9,"1,386","1,463","2,849"
BUSIA,CD LO,"6,754","6,948","13,702"
BUSIA,10,"1,386","1,576","2,962"
BUSIA,11,"1,300","1,398","2,698"
BUSIA,12,"1,433","1,489","2,922"
BUSIA,13,"1,335","1,543","2,878"
BUSIA,14,"1,183","1,427","2,610"
BUSIA,10-14,"6,637","7,433","14,070"
BUSIA,15,"1,231","1,406","2,637"
BUSIA,16,"1,081","1,397","2,478"
BUSIA,17,"1,238","1,429","2,667"
BUSIA,18,"1,038","1,174","2,212"
BUSIA,19,"1,121","1,322","2,443"
BUSIA,15-19,"5,709","6,728","12,437"
BUSIA,20,"1,136","1,397","2,533"
BUSIA,21,981,"1,216","2,197"
BUSIA,22,"1,020","1,379","2,399"
BUSIA,23,"1,078","1,416","2,494"
BUSIA,24,"1,059","1,354","2,413"
BUSIA,20-24,"5,274","6,762","12,036"
BUSIA,25,"1,226","1,470","2,696"
BUSIA,26,991,"1,294","2,285"
BUSIA,27,"1,075","1,283","2,358"
BUSIA,28,900,"1,129","2,029"
BUSIA,29,985,"1,119","2,104"
BUSIA,25-29,"5,177","6,295","11,472"
BUSIA,30,"1,277","1,430","2,707"
BUSIA,31,861,926,"1,787"
BUSIA,32,"1,210","1,221","2,431"
BUSIA,33,926,914,"1,840"
BUSIA,34,827,812,"1,639"
BUSIA,30-34,"5,101","5,303","10,404"
BUSIA,35,"1,023",976,"1,999"
BUSIA,36,776,721,"1,497"
BUSIA,37,790,660,"1,450"
BUSIA,38,639,561,"1,200"
BUSIA,39,611,544,"1,155"
BUSIA,35-39,"3,839","3,462","7,301"
BUSIA,40,839,696,"1,535"
BUSIA,41,557,525,"1,082"
BUSIA,42,644,541,"1,185"
BUSIA,43,512,455,967
BUSIA,44,402,331,733
BUSIA,40-44,"2,954","2,548","5,502"
BUSIA,45,611,545,"1,156"
BUSIA,46,378,304,682
BUSIA,47,450,338,788
BUSIA,48,307,237,544
BUSIA,49,296,293,589
BUSIA,45-49,"2,042","1,717","3,759"
BUSIA,50,417,458,875
BUSIA,51,289,257,546
BUSIA,52,294,270,564
BUSIA,53,212,199,411
BUSIA,54,242,210,452
BUSIA,50-54,"1,454","1,394","2,848"
BUSIA,55,244,195,439
BUSIA,56,236,206,442
BUSIA,57,232,239,471
BUSIA,58,201,168,369
BUSIA,59,237,212,449
BUSIA,55-59,"1,150","1,020","2,170"
BUSIA,60,199,249,448
BUSIA,61,140,157,297
BUSIA,62,124,108,232
BUSIA,63,126,125,251
BUSIA,64,107,89,196
BUSIA,60-64,696,728,"1,424"
BUSIA,65,102,109,211
BUSIA,66,47,67,114
BUSIA,67,105,121,226
BUSIA,68,48,44,92
BUSIA,69,64,48,112
BUSIA,65-69,366,389,755
BUSIA,70,79,123,202
BUSIA,71,61,56,117
BUSIA,72,47,43,90
BUSIA,73,36,36,72
BUSIA,74,33,55,88
BUSIA,70-74,256,313,569
BUSIA,75,38,49,87
BUSIA,76,24,34,58
BUSIA,77,29,41,70
BUSIA,78,21,21,42
BUSIA,79,15,49,64
BUSIA,75-79,127,194,321
BUSIA,80,18,56,74
BUSIA,81,15,11,26
BUSIA,82,17,14,31
BUSIA,83,11,13,24
BUSIA,84,6,23,29
BUSIA,80-84,67,117,184
BUSIA,85,10,16,26
BUSIA,86,4,15,19
BUSIA,87,10,14,24
BUSIA,88,2,8,10
BUSIA,89,7,10,17
BUSIA,85-89,33,63,96
BUSIA,90,3,12,15
BUSIA,91,7,3,10
BUSIA,92,3,1,4
BUSIA,93,4,6,10
BUSIA,94,2,3,5
BUSIA,90-94,19,25,44
BUSIA,95,3,3,6
BUSIA,96,-,3,3
BUSIA,97,1,2,3
BUSIA,98,-,3,3
BUSIA,99,1,3,4
BUSIA,95-99,5,14,19
BUSIA,100+,-,10,10
BUSIA,Not Stated,1,3,4
SIAYA,SIAYA,,,
SIAYA,Total,"40,219","45,195","85,414"
SIAYA,0,"1,181","1,174","2,355"
SIAYA,1,"1,118","1,084","2,202"
SIAYA,2,"1,097","1,179","2,276"
SIAYA,3,"1,074","1,015","2,089"
SIAYA,4,"1,013","1,063","2,076"
SIAYA,0 - 4,"5,483","5,515","10,998"
SIAYA,5,"1,042","1,086","2,128"
SIAYA,6,962,"1,060","2,022"
SIAYA,7,"1,019","1,063","2,082"
SIAYA,8,923,"1,018","1,941"
SIAYA,9,"1,022","1,107","2,129"
SIAYA,CD LO,"4,968","5,334","10,302"
SIAYA,10,"1,085","1,132","2,217"
SIAYA,11,990,"1,058","2,048"
SIAYA,12,"1,063","1,196","2,259"
SIAYA,13,"1,046","1,203","2,249"
SIAYA,14,903,"1,042","1,945"
SIAYA,10-14,"5,087","5,631","10,718"
SIAYA,15,877,"1,044","1,921"
SIAYA,16,797,"1,030","1,827"
SIAYA,17,855,"1,108","1,963"
SIAYA,18,813,949,"1,762"
SIAYA,19,904,"1,131","2,035"
SIAYA,15-19,"4,246","5,262","9,508"
SIAYA,20,832,"1,178","2,010"
SIAYA,21,870,"1,051","1,921"
SIAYA,22,810,"1,182","1,992"
SIAYA,23,872,"1,234","2,106"
SIAYA,24,862,"1,113","1,975"
SIAYA,20-24,"4,246","5,758","10,004"
SIAYA,25,942,"1,248","2,190"
SIAYA,26,846,"1,064","1,910"
SIAYA,27,909,"1,027","1,936"
SIAYA,28,719,837,"1,556"
SIAYA,29,711,861,"1,572"
SIAYA,25-29,"4,127","5,037","9,164"
SIAYA,30,930,"1,150","2,080"
SIAYA,31,645,670,"1,315"
SIAYA,32,849,932,"1,781"
SIAYA,33,654,705,"1,359"
SIAYA,34,627,648,"1,275"
SIAYA,30-34,"3,705","4,105","7,810"
SIAYA,35,735,746,"1,481"
SIAYA,36,492,505,997
SIAYA,37,489,489,978
SIAYA,38,419,355,774
SIAYA,39,433,405,838
SIAYA,35-39,"2,568","2,500","5,068"
SIAYA,40,499,504,"1,003"
SIAYA,41,430,359,789
SIAYA,42,351,332,683
SIAYA,43,335,326,661
SIAYA,44,253,242,495
SIAYA,40-44,"1,868","1,763","3,631"
SIAYA,45,362,315,677
SIAYA,46,237,201,438
SIAYA,47,241,236,477
SIAYA,48,186,152,338
SIAYA,49,196,188,384
SIAYA,45-49,"1,222","1,092","2,314"
SIAYA,50,270,280,550
SIAYA,51,202,182,384
SIAYA,52,124,170,294
SIAYA,53,141,135,276
SIAYA,54,152,147,299
SIAYA,50-54,889,914,"1,803"
SIAYA,55,148,160,308
SIAYA,56,147,178,325
SIAYA,57,152,176,328
SIAYA,58,102,107,209
SIAYA,59,115,113,228
SIAYA,55-59,664,734,"1,398"
SIAYA,60,131,187,318
SIAYA,61,79,105,184
SIAYA,62,79,85,164
SIAYA,63,80,81,161
SIAYA,64,67,83,150
SIAYA,60-64,436,541,977
SIAYA,65,82,110,192
SIAYA,66,54,75,129
SIAYA,67,59,103,162
SIAYA,68,31,46,77
SIAYA,69,48,60,108
SIAYA,65-69,274,394,668
SIAYA,70,75,106,181
SIAYA,71,42,53,95
SIAYA,72,35,48,83
SIAYA,73,32,39,71
SIAYA,74,35,32,67
SIAYA,70-74,219,278,497
SIAYA,75,26,41,67
SIAYA,76,23,24,47
SIAYA,77,29,39,68
SIAYA,78,9,12,21
SIAYA,79,16,28,44
SIAYA,75-79,103,144,247
SIAYA,80,19,38,57
SIAYA,81,10,15,25
SIAYA,82,15,14,29
SIAYA,83,8,22,30
SIAYA,84,10,13,23
SIAYA,80-84,62,102,164
SIAYA,85,11,15,26
SIAYA,86,4,7,11
SIAYA,87,4,12,16
SIAYA,88,4,10,14
SIAYA,89,8,10,18
SIAYA,85-89,31,54,85
SIAYA,90,5,9,14
SIAYA,91,2,6,8
SIAYA,92,-,6,6
SIAYA,93,4,3,7
SIAYA,94,1,3,4
SIAYA,90-94,12,27,39
SIAYA,95,3,2,5
SIAYA,96,-,1,1
SIAYA,97,1,1,2
SIAYA,98,-,-,-
SIAYA,99,1,1,2
SIAYA,95-99,5,5,10
SIAYA,100+,-,2,2
SIAYA,Not Stated,4,3,7
KISUMU,KISUMU,,,
KISUMU,Total,"216,221","224,670","440,891"
KISUMU,0,"5,758","5,764","11,522"
KISUMU,1,"5,627","5,735","11,362"
KISUMU,2,"5,206","5,347","10,553"
KISUMU,3,"5,376","5,612","10,988"
KISUMU,4,"5,106","5,255","10,361"
KISUMU,0 - 4,"27,073","27,713","54,786"
KISUMU,5,"4,739","4,840","9,579"
KISUMU,6,"4,966","5,096","10,062"
KISUMU,7,"5,019","5,117","10,136"
KISUMU,8,"4,705","4,793","9,498"
KISUMU,9,"5,011","5,288","10,299"
KISUMU,CD LO,"24,440","25,134","49,574"
KISUMU,10,"5,387","5,298","10,685"
KISUMU,11,"4,629","5,095","9,724"
KISUMU,12,"5,241","5,712","10,953"
KISUMU,13,"4,959","5,657","10,616"
KISUMU,14,"4,506","4,977","9,483"
KISUMU,10-14,"24,722","26,739","51,461"
KISUMU,15,"4,303","4,939","9,242"
KISUMU,16,"4,119","4,784","8,903"
KISUMU,17,"4,383","5,052","9,435"
KISUMU,18,"4,076","4,769","8,845"
KISUMU,19,"4,712","5,730","10,442"
KISUMU,15-19,"21,593","25,274","46,867"
KISUMU,20,"4,518","5,921","10,439"
KISUMU,21,"4,568","5,805","10,373"
KISUMU,22,"4,565","5,871","10,436"
KISUMU,23,"4,956","6,320","11,276"
KISUMU,24,"4,848","6,144","10,992"
KISUMU,20-24,"23,455","30,061","53,516"
KISUMU,25,"5,512","6,462","11,974"
KISUMU,26,"4,575","5,604","10,179"
KISUMU,27,"5,088","5,652","10,740"
KISUMU,28,"4,023","4,427","8,450"
KISUMU,29,"4,184","4,620","8,804"
KISUMU,25-29,"23,382","26,765","50,147"
KISUMU,30,"5,540","6,051","11,591"
KISUMU,31,"3,758","3,595","7,353"
KISUMU,32,"4,942","4,949","9,891"
KISUMU,33,"3,628","3,688","7,316"
KISUMU,34,"3,574","3,477","7,051"
KISUMU,30-34,"21,442","21,760","43,202"
KISUMU,35,"4,400","3,788","8,188"
KISUMU,36,"3,135","2,671","5,806"
KISUMU,37,"3,275","2,487","5,762"
KISUMU,38,"2,498","1,979","4,477"
KISUMU,39,"2,742","2,146","4,888"
KISUMU,35-39,"16,050","13,071","29,121"
KISUMU,40,"3,365","2,619","5,984"
KISUMU,41,"2,502","1,791","4,293"
KISUMU,42,"2,485","1,792","4,277"
KISUMU,43,"2,036","1,627","3,663"
KISUMU,44,"1,525","1,186","2,711"
KISUMU,40-44,"11,913","9,015","20,928"
KISUMU,45,"2,276","1,711","3,987"
KISUMU,46,"1,513","1,108","2,621"
KISUMU,47,"1,604","1,168","2,772"
KISUMU,48,"1,072",793,"1,865"
KISUMU,49,"1,208",852,"2,060"
KISUMU,45-49,"7,673","5,632","13,305"
KISUMU,50,"1,481","1,256","2,737"
KISUMU,51,"1,000",825,"1,825"
KISUMU,52,963,751,"1,714"
KISUMU,53,790,636,"1,426"
KISUMU,54,862,636,"1,498"
KISUMU,50-54,"5,096","4,104","9,200"
KISUMU,55,880,685,"1,565"
KISUMU,56,842,767,"1,609"
KISUMU,57,770,837,"1,607"
KISUMU,58,576,481,"1,057"
KISUMU,59,666,602,"1,268"
KISUMU,55-59,"3,734","3,372","7,106"
KISUMU,60,723,714,"1,437"
KISUMU,61,509,469,978
KISUMU,62,451,411,862
KISUMU,63,408,393,801
KISUMU,64,343,312,655
KISUMU,60-64,"2,434","2,299","4,733"
KISUMU,65,424,427,851
KISUMU,66,248,283,531
KISUMU,67,364,407,771
KISUMU,68,188,131,319
KISUMU,69,242,241,483
KISUMU,65-69,"1,466","1,489","2,955"
KISUMU,70,329,396,725
KISUMU,71,203,201,404
KISUMU,72,152,165,317
KISUMU,73,125,135,260
KISUMU,74,144,129,273
KISUMU,70-74,953,"1,026","1,979"
KISUMU,75,111,130,241
KISUMU,76,89,121,210
KISUMU,77,97,106,203
KISUMU,78,54,64,118
KISUMU,79,52,97,149
KISUMU,75-79,403,518,921
KISUMU,80,81,136,217
KISUMU,81,38,67,105
KISUMU,82,26,61,87
KISUMU,83,47,51,98
KISUMU,84,27,65,92
KISUMU,80-84,219,380,599
KISUMU,85,37,61,98
KISUMU,86,23,29,52
KISUMU,87,28,49,77
KISUMU,88,13,16,29
KISUMU,89,21,39,60
KISUMU,85-89,122,194,316
KISUMU,90,12,32,44
KISUMU,91,3,12,15
KISUMU,92,9,11,20
KISUMU,93,-,8,8
KISUMU,94,9,7,16
KISUMU,90-94,33,70,103
KISUMU,95,3,13,16
KISUMU,96,2,7,9
KISUMU,97,3,4,7
KISUMU,98,2,4,6
KISUMU,99,1,5,6
KISUMU,95-99,11,33,44
KISUMU,100+,1,11,12
KISUMU,Not Stated,6,10,16
HOMA BAY,HOMA BAY,,,
HOMA BAY,Total,"53,569","59,506","113,075"
HOMA BAY,0,"1,579","1,544","3,123"
HOMA BAY,1,"1,546","1,567","3,113"
HOMA BAY,2,"1,510","1,545","3,055"
HOMA BAY,3,"1,676","1,660","3,336"
HOMA BAY,4,"1,600","1,559","3,159"
HOMA BAY,0 - 4,"7,911","7,875","15,786"
HOMA BAY,5,"1,409","1,459","2,868"
HOMA BAY,6,"1,461","1,544","3,005"
HOMA BAY,7,"1,320","1,449","2,769"
HOMA BAY,8,"1,287","1,317","2,604"
HOMA BAY,9,"1,392","1,535","2,927"
HOMA BAY,CD LO,"6,869","7,304","14,173"
HOMA BAY,10,"1,430","1,628","3,058"
HOMA BAY,11,"1,217","1,398","2,615"
HOMA BAY,12,"1,434","1,636","3,070"
HOMA BAY,13,"1,382","1,621","3,003"
HOMA BAY,14,"1,182","1,455","2,637"
HOMA BAY,10-14,"6,645","7,738","14,383"
HOMA BAY,15,"1,140","1,441","2,581"
HOMA BAY,16,"1,093","1,305","2,398"
HOMA BAY,17,"1,129","1,336","2,465"
HOMA BAY,18,951,"1,133","2,084"
HOMA BAY,19,"1,052","1,437","2,489"
HOMA BAY,15-19,"5,365","6,652","12,017"
HOMA BAY,20,"1,040","1,589","2,629"
HOMA BAY,21,"1,042","1,474","2,516"
HOMA BAY,22,995,"1,487","2,482"
HOMA BAY,23,"1,153","1,636","2,789"
HOMA BAY,24,"1,114","1,559","2,673"
HOMA BAY,20-24,"5,344","7,745","13,089"
HOMA BAY,25,"1,395","1,700","3,095"
HOMA BAY,26,"1,130","1,425","2,555"
HOMA BAY,27,"1,053","1,414","2,467"
HOMA BAY,28,924,"1,135","2,059"
HOMA BAY,29,923,"1,084","2,007"
HOMA BAY,25-29,"5,425","6,758","12,183"
HOMA BAY,30,"1,373","1,592","2,965"
HOMA BAY,31,849,983,"1,832"
HOMA BAY,32,"1,137","1,319","2,456"
HOMA BAY,33,866,922,"1,788"
HOMA BAY,34,855,852,"1,707"
HOMA BAY,30-34,"5,080","5,668","10,748"
HOMA BAY,35,"1,137",931,"2,068"
HOMA BAY,36,760,555,"1,315"
HOMA BAY,37,656,578,"1,234"
HOMA BAY,38,541,448,989
HOMA BAY,39,602,459,"1,061"
HOMA BAY,35-39,"3,696","2,971","6,667"
HOMA BAY,40,774,651,"1,425"
HOMA BAY,41,549,430,979
HOMA BAY,42,519,437,956
HOMA BAY,43,427,394,821
HOMA BAY,44,360,306,666
HOMA BAY,40-44,"2,629","2,218","4,847"
HOMA BAY,45,512,446,958
HOMA BAY,46,300,253,553
HOMA BAY,47,342,297,639
HOMA BAY,48,217,185,402
HOMA BAY,49,238,184,422
HOMA BAY,45-49,"1,609","1,365","2,974"
HOMA BAY,50,311,308,619
HOMA BAY,51,204,184,388
HOMA BAY,52,185,156,341
HOMA BAY,53,132,142,274
HOMA BAY,54,166,184,350
HOMA BAY,50-54,998,974,"1,972"
HOMA BAY,55,175,178,353
HOMA BAY,56,150,174,324
HOMA BAY,57,175,187,362
HOMA BAY,58,106,119,225
HOMA BAY,59,129,120,249
HOMA BAY,55-59,735,778,"1,513"
HOMA BAY,60,150,183,333
HOMA BAY,61,108,114,222
HOMA BAY,62,90,88,178
HOMA BAY,63,86,100,186
HOMA BAY,64,79,71,150
HOMA BAY,60-64,513,556,"1,069"
HOMA BAY,65,85,104,189
HOMA BAY,66,66,54,120
HOMA BAY,67,80,107,187
HOMA BAY,68,31,36,67
HOMA BAY,69,52,46,98
HOMA BAY,65-69,314,347,661
HOMA BAY,70,92,116,208
HOMA BAY,71,51,40,91
HOMA BAY,72,36,49,85
HOMA BAY,73,44,31,75
HOMA BAY,74,28,31,59
HOMA BAY,70-74,251,267,518
HOMA BAY,75,36,25,61
HOMA BAY,76,10,24,34
HOMA BAY,77,22,22,44
HOMA BAY,78,12,14,26
HOMA BAY,79,15,21,36
HOMA BAY,75-79,95,106,201
HOMA BAY,80,16,52,68
HOMA BAY,81,12,8,20
HOMA BAY,82,8,11,19
HOMA BAY,83,9,11,20
HOMA BAY,84,7,12,19
HOMA BAY,80-84,52,94,146
HOMA BAY,85,6,26,32
HOMA BAY,86,3,11,14
HOMA BAY,87,4,8,12
HOMA BAY,88,4,5,9
HOMA BAY,89,9,10,19
HOMA BAY,85-89,26,60,86
HOMA BAY,90,-,5,5
HOMA BAY,91,1,4,5
HOMA BAY,92,2,-,2
HOMA BAY,93,1,2,3
HOMA BAY,94,1,5,6
HOMA BAY,90-94,5,16,21
HOMA BAY,95,-,5,5
HOMA BAY,96,2,1,3
HOMA BAY,97,1,5,6
HOMA BAY,98,-,-,-
HOMA BAY,99,-,1,1
HOMA BAY,95-99,3,12,15
HOMA BAY,100+,3,2,5
HOMA BAY,Not Stated,1,-,1
MIGORI,MIGORI,,,
MIGORI,Total,"80,300","86,896","167,196"
MIGORI,0,"2,333","2,342","4,675"
MIGORI,1,"2,215","2,332","4,547"
MIGORI,2,"2,302","2,243","4,545"
MIGORI,3,"2,361","2,446","4,807"
MIGORI,4,"2,275","2,336","4,611"
MIGORI,0 - 4,"11,486","11,699","23,185"
MIGORI,5,"2,317","2,273","4,590"
MIGORI,6,"2,192","2,267","4,459"
MIGORI,7,"2,109","2,193","4,302"
MIGORI,8,"1,993","2,114","4,107"
MIGORI,9,"2,184","2,345","4,529"
MIGORI,CD LO,"10,795","11,192","21,987"
MIGORI,10,"2,349","2,431","4,780"
MIGORI,11,"1,879","2,215","4,094"
MIGORI,12,"2,314","2,552","4,866"
MIGORI,13,"2,149","2,394","4,543"
MIGORI,14,"1,945","2,348","4,293"
MIGORI,10-14,"10,636","11,940","22,576"
MIGORI,15,"1,923","2,215","4,138"
MIGORI,16,"1,748","2,002","3,750"
MIGORI,17,"1,801","2,018","3,819"
MIGORI,18,"1,505","1,837","3,342"
MIGORI,19,"1,722","2,153","3,875"
MIGORI,15-19,"8,699","10,225","18,924"
MIGORI,20,"1,652","2,328","3,980"
MIGORI,21,"1,478","2,177","3,655"
MIGORI,22,"1,490","2,141","3,631"
MIGORI,23,"1,593","2,306","3,899"
MIGORI,24,"1,587","2,095","3,682"
MIGORI,20-24,"7,800","11,047","18,847"
MIGORI,25,"1,969","2,405","4,374"
MIGORI,26,"1,507","1,919","3,426"
MIGORI,27,"1,604","1,851","3,455"
MIGORI,28,"1,316","1,531","2,847"
MIGORI,29,"1,206","1,418","2,624"
MIGORI,25-29,"7,602","9,124","16,726"
MIGORI,30,"1,934","2,241","4,175"
MIGORI,31,"1,114","1,178","2,292"
MIGORI,32,"1,498","1,557","3,055"
MIGORI,33,"1,099","1,262","2,361"
MIGORI,34,"1,132","1,148","2,280"
MIGORI,30-34,"6,777","7,386","14,163"
MIGORI,35,"1,509","1,358","2,867"
MIGORI,36,965,816,"1,781"
MIGORI,37,904,771,"1,675"
MIGORI,38,751,664,"1,415"
MIGORI,39,811,659,"1,470"
MIGORI,35-39,"4,940","4,268","9,208"
MIGORI,40,"1,150",944,"2,094"
MIGORI,41,814,669,"1,483"
MIGORI,42,822,634,"1,456"
MIGORI,43,698,526,"1,224"
MIGORI,44,495,402,897
MIGORI,40-44,"3,979","3,175","7,154"
MIGORI,45,833,666,"1,499"
MIGORI,46,472,412,884
MIGORI,47,531,458,989
MIGORI,48,345,276,621
MIGORI,49,389,347,736
MIGORI,45-49,"2,570","2,159","4,729"
MIGORI,50,549,446,995
MIGORI,51,329,284,613
MIGORI,52,291,255,546
MIGORI,53,245,184,429
MIGORI,54,317,225,542
MIGORI,50-54,"1,731","1,394","3,125"
MIGORI,55,331,256,587
MIGORI,56,313,251,564
MIGORI,57,287,282,569
MIGORI,58,189,172,361
MIGORI,59,215,180,395
MIGORI,55-59,"1,335","1,141","2,476"
MIGORI,60,265,270,535
MIGORI,61,188,149,337
MIGORI,62,134,120,254
MIGORI,63,110,132,242
MIGORI,64,94,107,201
MIGORI,60-64,791,778,"1,569"
MIGORI,65,134,160,294
MIGORI,66,108,95,203
MIGORI,67,112,121,233
MIGORI,68,77,60,137
MIGORI,69,91,107,198
MIGORI,65-69,522,543,"1,065"
MIGORI,70,121,143,264
MIGORI,71,69,64,133
MIGORI,72,59,47,106
MIGORI,73,38,42,80
MIGORI,74,54,46,100
MIGORI,70-74,341,342,683
MIGORI,75,42,58,100
MIGORI,76,28,42,70
MIGORI,77,36,48,84
MIGORI,78,19,25,44
MIGORI,79,16,39,55
MIGORI,75-79,141,212,353
MIGORI,80,17,70,87
MIGORI,81,15,13,28
MIGORI,82,18,15,33
MIGORI,83,23,18,41
MIGORI,84,14,17,31
MIGORI,80-84,87,133,220
MIGORI,85,11,18,29
MIGORI,86,10,13,23
MIGORI,87,17,20,37
MIGORI,88,6,7,13
MIGORI,89,3,16,19
MIGORI,85-89,47,74,121
MIGORI,90,1,13,14
MIGORI,91,1,6,7
MIGORI,92,4,3,7
MIGORI,93,4,6,10
MIGORI,94,1,3,4
MIGORI,90-94,11,31,42
MIGORI,95,4,9,13
MIGORI,96,-,3,3
MIGORI,97,1,4,5
MIGORI,98,2,1,3
MIGORI,99,3,2,5
MIGORI,95-99,10,19,29
MIGORI,100+,-,14,14
MIGORI,Not Stated,-,-,-
KISII,KISII,,,
KISII,Total,"73,924","77,478","151,402"
KISII,0,"1,976","1,922","3,898"
KISII,1,"1,739","1,767","3,506"
KISII,2,"1,691","1,664","3,355"
KISII,3,"1,746","1,772","3,518"
KISII,4,"1,756","1,674","3,430"
