COUNTY,MOMBASA,,,
,Age,Male,Female,Total
KAKAMEGA,72,112,116,228
KAKAMEGA,73,96,89,185
KAKAMEGA,74,84,100,184
KAKAMEGA,70-74,625,706,"1,331"
KAKAMEGA,75,97,95,192
KAKAMEGA,76,65,95,160
KAKAMEGA,77,58,90,148
KAKAMEGA,78,37,46,83
KAKAMEGA,79,38,64,102
KAKAMEGA,75-79,295,390,685
KAKAMEGA,80,61,95,156
KAKAMEGA,81,28,54,82
KAKAMEGA,82,37,45,82
KAKAMEGA,83,37,41,78
KAKAMEGA,84,18,33,51
KAKAMEGA,80-84,181,268,449
KAKAMEGA,85,30,43,73
KAKAMEGA,86,11,25,36
KAKAMEGA,87,17,31,48
KAKAMEGA,88,12,15,27
KAKAMEGA,89,15,33,48
KAKAMEGA,85-89,85,147,232
KAKAMEGA,90,5,13,18
KAKAMEGA,91,8,14,22
KAKAMEGA,92,3,6,9
KAKAMEGA,93,6,9,15
KAKAMEGA,94,3,8,11
KAKAMEGA,90-94,25,50,75
KAKAMEGA,95,3,13,16
KAKAMEGA,96,3,3,6
KAKAMEGA,97,6,5,11
KAKAMEGA,98,5,6,11
KAKAMEGA,99,2,5,7
KAKAMEGA,95-99,19,32,51
KAKAMEGA,100+,2,6,8
KAKAMEGA,Not Stated,3,2,5
VIHIGA,VIHIGA,,,
VIHIGA,Total,"27,951","30,431","58,382"
VIHIGA,0,656,700,"1,356"
VIHIGA,1,660,646,"1,306"
VIHIGA,2,629,688,"1,317"
VIHIGA,3,655,698,"1,353"
VIHIGA,4,630,640,"1,270"
VIHIGA,0 - 4,"3,230","3,372","6,602"
VIHIGA,5,700,664,"1,364"
VIHIGA,6,666,698,"1,364"
VIHIGA,7,690,747,"1,437"
VIHIGA,8,664,682,"1,346"
VIHIGA,9,764,768,"1,532"
VIHIGA,CD LO,"3,484","3,559","7,043"
VIHIGA,10,752,761,"1,513"
VIHIGA,11,644,754,"1,398"
VIHIGA,12,739,778,"1,517"
VIHIGA,13,692,778,"1,470"
VIHIGA,14,690,703,"1,393"
VIHIGA,10-14,"3,517","3,774","7,291"
VIHIGA,15,685,679,"1,364"
VIHIGA,16,639,687,"1,326"
VIHIGA,17,688,699,"1,387"
VIHIGA,18,589,555,"1,144"
VIHIGA,19,592,664,"1,256"
VIHIGA,15-19,"3,193","3,284","6,477"
VIHIGA,20,584,609,"1,193"
VIHIGA,21,481,584,"1,065"
VIHIGA,22,487,582,"1,069"
VIHIGA,23,523,571,"1,094"
VIHIGA,24,502,514,"1,016"
VIHIGA,20-24,"2,577","2,860","5,437"
VIHIGA,25,469,562,"1,031"
VIHIGA,26,435,501,936
VIHIGA,27,475,545,"1,020"
VIHIGA,28,418,480,898
VIHIGA,29,424,491,915
VIHIGA,25-29,"2,221","2,579","4,800"
VIHIGA,30,516,631,"1,147"
VIHIGA,31,368,424,792
VIHIGA,32,456,545,"1,001"
VIHIGA,33,340,458,798
VIHIGA,34,347,404,751
VIHIGA,30-34,"2,027","2,462","4,489"
VIHIGA,35,394,458,852
VIHIGA,36,325,360,685
VIHIGA,37,323,328,651
VIHIGA,38,245,288,533
VIHIGA,39,317,327,644
VIHIGA,35-39,"1,604","1,761","3,365"
VIHIGA,40,372,396,768
VIHIGA,41,306,300,606
VIHIGA,42,321,313,634
VIHIGA,43,276,244,520
VIHIGA,44,211,206,417
VIHIGA,40-44,"1,486","1,459","2,945"
VIHIGA,45,286,297,583
VIHIGA,46,214,234,448
VIHIGA,47,227,250,477
VIHIGA,48,171,158,329
VIHIGA,49,176,186,362
VIHIGA,45-49,"1,074","1,125","2,199"
VIHIGA,50,244,247,491
VIHIGA,51,170,222,392
VIHIGA,52,171,167,338
VIHIGA,53,143,143,286
VIHIGA,54,144,168,312
VIHIGA,50-54,872,947,"1,819"
VIHIGA,55,173,156,329
VIHIGA,56,149,179,328
VIHIGA,57,131,183,314
VIHIGA,58,108,155,263
VIHIGA,59,154,167,321
VIHIGA,55-59,715,840,"1,555"
VIHIGA,60,125,194,319
VIHIGA,61,110,144,254
VIHIGA,62,114,134,248
VIHIGA,63,112,135,247
VIHIGA,64,100,113,213
VIHIGA,60-64,561,720,"1,281"
VIHIGA,65,145,160,305
VIHIGA,66,81,104,185
VIHIGA,67,123,142,265
VIHIGA,68,72,72,144
VIHIGA,69,108,103,211
VIHIGA,65-69,529,581,"1,110"
