X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
1.085742582,0.282028678,0.042480051,0.050026279,0.016487609,0.076512192,0.130820197,0.085273737,0.033347418,0.035574492,0.017168795,0.010691419,0.001719596,0.000954557,8.24E-66,6.3812E-120
0.352900664,5.24627253,0.239810744,0.029221278,0.032357447,0.097864229,0.119454633,0.097416248,0.075055136,0.046325443,0.033419737,0.008667708,0.004120593,0.001591964,0.000346701,8.07735E-39
0.002459886,0.931017996,4.458595895,0.151739405,0.01743895,0.063729299,0.060902093,0.084293479,0.070772355,0.048497476,0.029613911,0.01287147,0.004046629,0.000772137,4.9259E-25,0.000181855
0.016042874,0.043938446,1.520613301,5.73273215,0.077714639,0.078524961,0.082108316,0.099749267,0.066935945,0.068441034,0.032492818,0.016295569,0.004543808,0.001169342,6.1957E-33,1.704E-70
0.022161425,0.025872247,0.008642437,0.794812711,0.436514548,0.054761744,0.034846355,0.038091288,0.020707376,0.023136116,0.011220199,0.007280813,0.000635039,0.001328559,0.000177012,1.21884E-47
0.024689834,0.136389075,0.035760693,0.200807232,0.303326187,0.198170616,0.032694985,0.038301401,0.03833587,0.030358452,0.007154646,0.01044068,0.004001506,0.002617766,0.000462713,0.001285177
0.04608497,0.42656584,0.236512507,0.163382126,0.052502717,0.102335558,0.087972672,0.054240765,0.050153412,0.023738762,0.017672189,0.002441637,0.00504315,0.00047921,1.65302E-48,3.11005E-55
0.068630439,0.217289192,0.134375541,0.073624023,0.018383419,0.05826409,0.077228836,0.051765311,0.049696498,0.021844601,0.003004414,0.006516244,0.000511305,0.002189884,1.8429E-123,9.69026E-67
0.018520578,0.099408431,0.067424528,0.290207018,0.007539161,0.024583677,0.023110763,0.028459459,0.053931523,0.017913242,0.018991914,0.005127555,0.00488897,0.000486987,4.80838E-68,2.401E-92
0.139930492,0.194301461,0.108468142,0.41048142,0.004969732,0.027670115,0.05136921,0.040821632,0.03413404,0.019278502,0.022848507,0.010345765,0.002892686,0.001697426,6.2049E-134,3.27139E-72
0.031296235,0.273921558,0.300348204,0.336461577,0.004552847,0.012698222,0.034393315,0.031725492,0.036265355,0.047195868,0.02350794,0.012668091,0.004081809,8.88497E-24,1.2373E-117,5.64042E-78
0.088637568,0.213804873,0.167834996,0.195185827,0.004789346,0.043571106,0.016663269,0.026820696,0.032134833,0.022630322,0.019932384,0.023096672,0.008092647,1.12129E-31,0.000781636,0.000762248
0.04878364,0.051534838,0.024117785,0.115723234,0.011520134,0.001584802,0.01441051,0.038751896,0.008180568,0.012681546,0.009996532,0.005258638,0.019531539,0.011122639,4.4217E-67,2.12035E-37
0.002057518,0.031087242,0.011241078,8.25433E-32,0.002084573,0.002088745,0.013312924,0.005663438,0.005515133,0.008728208,0.001948229,0.014756893,0.008128821,0.017639759,0.011123364,3.4568E-126
1.28149E-28,5.09959E-26,1.92568E-40,0.007585114,2.63361E-22,1.69601E-24,1.2577E-26,0.007615199,0.007843684,0.021136973,0.035192044,0.021427131,0.007737256,0.008012895,0.007912844,0.02138257
2.81742E-94,0.021098161,8.45171E-42,0.021220687,4.89506E-36,0.007587625,9.76669E-69,2.22986E-60,1.43638E-48,8.55602E-60,4.69286E-42,1.59776E-46,2.20943E-83,8.8583E-107,1.02043E-80,6.6141E-113
