X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
4.326714387,1.843386685,0.836456946,0.502048925,0.740024021,0.96044859,0.925257395,0.641971001,0.324106841,0.202126932,0.199939541,0.148034317,0.09981764,0.074231223,0.048937468,0.019313397
2.007166241,7.440728185,2.418029882,0.544992023,0.402451682,0.67876607,0.690802392,0.620458587,0.391323839,0.165541814,0.10848628,0.099690489,0.094044373,0.060652153,0.030232669,0.018726614
0.573436753,3.000472277,9.411114849,1.195229854,0.689304692,0.495407944,0.476715219,0.460903493,0.396829279,0.221964395,0.119342166,0.065812303,0.046912098,0.041938797,0.031294947,0.022590219
0.254397209,0.788165329,3.251936932,7.924150641,1.672695764,0.664879713,0.351007077,0.339803557,0.259458966,0.203169889,0.075067683,0.03305858,0.024611602,0.019365491,0.012138978,0.006760903
0.314902378,0.394752352,0.521871054,2.730607816,3.850303917,1.293460955,0.638939311,0.343158063,0.198974019,0.204309459,0.101548249,0.059641253,0.024371788,0.016186767,0.018632246,0.012313719
0.462586632,0.236673275,0.188935132,0.60013724,1.461885128,1.585393576,0.751472879,0.406864746,0.202833926,0.161694045,0.111862617,0.053191901,0.021285089,0.013712171,0.009031671,0.003819377
0.389527717,0.272487792,0.367022795,0.237717061,0.548794283,0.685678464,0.716863306,0.413833626,0.194167266,0.13061992,0.108432754,0.069403001,0.032264116,0.020356404,0.010786477,0.008409061
0.285816412,0.331579006,0.221468666,0.133195601,0.276658916,0.412666308,0.430514783,0.424094312,0.220475434,0.124592338,0.069512094,0.048857658,0.042614325,0.025797304,0.015993284,0.005310026
0.145869854,0.186302352,0.258816671,0.135043983,0.211367137,0.215690463,0.248168691,0.216824651,0.175344287,0.09401935,0.052799267,0.022025771,0.021189769,0.013025065,0.010428714,0.003694353
0.038803746,0.062781996,0.072518965,0.112345385,0.134654946,0.142054086,0.145221247,0.131166728,0.093826991,0.084675242,0.053927513,0.021896165,0.015815721,0.009068302,0.008505914,0.005510782
0.050513029,0.093313082,0.093929847,0.11342035,0.180615417,0.194848162,0.119033367,0.093358668,0.078766117,0.077472754,0.049809274,0.035000164,0.021601703,0.010333334,0.007167763,0.004054441
0.060985105,0.053412927,0.050951363,0.049119324,0.107259407,0.153651633,0.132731451,0.089046587,0.064889399,0.040266871,0.048363298,0.040047445,0.02633358,0.012871949,0.007508175,0.003420697
0.041628311,0.044806944,0.034193237,0.044127523,0.081098091,0.106063489,0.09124987,0.088430788,0.056856894,0.040539837,0.030026373,0.033004307,0.029151493,0.018613835,0.013739598,0.004837643
0.03465249,0.045095888,0.02540918,0.021728092,0.055307721,0.073414266,0.077469787,0.056136767,0.0398407,0.027893208,0.025229614,0.024231555,0.023337744,0.017804272,0.009927852,0.004970278
0.013663776,0.02851481,0.036425235,0.055218074,0.044646684,0.055330267,0.047505332,0.053463713,0.046673718,0.030975682,0.020733077,0.018365072,0.030694213,0.02422265,0.023497589,0.007187584
0.017688646,0.017715258,0.023199183,0.01041092,0.019867773,0.022546573,0.035685982,0.023160206,0.016472858,0.017988193,0.010737054,0.009190244,0.008832835,0.010311723,0.009452294,0.005380694
