Age,Male,Female,Total
KWALE,,,
82,374,399,773
83,412,457,869
84,391,636,"1,027"
80-84,"2,353","3,504","5,857"
85,321,529,850
86,246,260,506
87,351,395,746
88,180,214,394
89,318,698,"1,016"
85-89,"1,416","2,096","3,512"
90,159,373,532
91,111,169,280
92,112,119,231
93,47,97,144
94,85,141,226
90-94,514,899,"1,413"
95,89,143,232
96,41,61,102
97,57,81,138
98,27,61,88
99,49,112,161
95-99,263,458,721
100+,89,274,363
Not Stated,15,5,20
NYAMIRA,,,
Total,"268,241","290,286","558,527"
0,"5,200","5,365","10,565"
1,"5,549","5,568","11,117"
2,"5,848","5,804","11,652"
3,"6,283","6,340","12,623"
4,"6,727","6,539","13,266"
0-4,"29,607","29,616","59,223"
5,"6,800","6,744","13,544"
6,"7,160","7,203","14,363"
7,"7,477","7,250","14,727"
8,"7,181","7,106","14,287"
9,"8,291","8,149","16,440"
5-9,"36,909","36,452","73,361"
10,"9,234","8,964","18,198"
11,"7,857","8,127","15,984"
12,"9,841","9,253","19,094"
13,"8,948","8,941","17,889"
14,"8,340","7,916","16,256"
10-14,"44,220","43,201","87,421"
15,"7,877","7,734","15,611"
16,"7,164","6,990","14,154"
17,"6,852","6,924","13,776"
18,"5,400","5,233","10,633"
19,"5,588","5,414","11,002"
15-19,"32,881","32,295","65,176"
20,"4,470","4,912","9,382"
21,"3,586","4,230","7,816"
22,"3,396","4,135","7,531"
23,"3,343","4,359","7,702"
24,"3,186","4,168","7,354"
20-24,"17,981","21,804","39,785"
25,"4,039","5,151","9,190"
26,"2,875","4,172","7,047"
27,"3,255","4,506","7,761"
28,"2,672","3,629","6,301"
29,"2,764","4,092","6,856"
25-29,"15,605","21,550","37,155"
30,"4,129","6,196","10,325"
31,"3,032","4,823","7,855"
32,"3,534","5,397","8,931"
33,"3,024","4,441","7,465"
34,"2,818","3,909","6,727"
30-34,"16,537","24,766","41,303"
35,"4,027","4,618","8,645"
36,"2,573","2,519","5,092"
37,"2,648","2,542","5,190"
38,"2,039","2,066","4,105"
39,"2,465","2,391","4,856"
35-39,"13,752","14,136","27,888"
40,"3,088","3,355","6,443"
41,"3,337","3,195","6,532"
42,"2,369","2,530","4,899"
43,"2,311","2,551","4,862"
44,"1,779","2,003","3,782"
40-44,"12,884","13,634","26,518"
45,"3,219","3,527","6,746"
46,"2,047","2,493","4,540"
47,"2,249","2,607","4,856"
48,"1,410","1,532","2,942"
49,"1,669","2,047","3,716"
45-49,"10,594","12,206","22,800"
50,"2,176","2,469","4,645"
51,"1,734","1,655","3,389"
52,"1,253","1,152","2,405"
53,"1,118",903,"2,021"
54,"1,318","1,089","2,407"
50-54,"7,599","7,268","14,867"
55,"1,642","1,449","3,091"
56,"1,894","1,945","3,839"
57,"2,169","2,545","4,714"
58,"1,398","1,536","2,934"
59,"2,101","2,179","4,280"
55-59,"9,204","9,654","18,858"
60,"2,282","2,508","4,790"
61,"1,774","1,807","3,581"
62,"1,195","1,138","2,333"
63,"1,286","1,377","2,663"
64,842,934,"1,776"
60-64,"7,379","7,764","15,143"
65,"1,366","1,674","3,040"
66,691,710,"1,401"
67,"1,238","1,228","2,466"
68,564,631,"1,195"
69,978,"1,279","2,257"
65-69,"4,837","5,522","10,359"
70,"1,214","1,766","2,980"
71,948,956,"1,904"
72,600,577,"1,177"
73,536,471,"1,007"
74,529,653,"1,182"
70-74,"3,827","4,423","8,250"
75,478,617,"1,095"
76,283,285,568
77,441,452,893
78,266,248,514
79,375,653,"1,028"
75-79,"1,843","2,255","4,098"
80,398,762,"1,160"
81,277,355,632
82,194,164,358
83,237,228,465
84,226,328,554
80-84,"1,332","1,837","3,169"
85,189,299,488
86,124,140,264
87,175,198,373
88,109,67,176
89,152,377,529
85-89,749,"1,081","1,830"
90,98,224,322
91,67,88,155
92,47,51,98
93,34,43,77
94,42,58,100
90-94,288,464,752
95,66,86,152
96,13,29,42
97,28,22,50
98,24,26,50
99,29,72,101
95-99,160,235,395
100+,52,121,173
Not Stated,1,2,3
