Age,Male,Female,Total
KWALE,,,
30,"6,522","8,537","15,059"
31,"4,605","6,033","10,638"
32,"5,363","7,000","12,363"
33,"4,760","6,166","10,926"
34,"4,366","5,061","9,427"
30-34,"25,616","32,797","58,413"
35,"5,888","6,126","12,014"
36,"4,048","3,672","7,720"
37,"3,937","3,534","7,471"
38,"2,546","2,471","5,017"
39,"3,157","2,793","5,950"
35-39,"19,576","18,596","38,172"
40,"4,108","4,323","8,431"
41,"3,534","3,602","7,136"
42,"3,228","3,585","6,813"
43,"3,015","3,276","6,291"
44,"2,337","2,524","4,861"
40-44,"16,222","17,310","33,532"
45,"3,641","3,964","7,605"
46,"2,602","2,968","5,570"
47,"2,904","3,511","6,415"
48,"1,489","1,906","3,395"
49,"1,868","2,186","4,054"
45-49,"12,504","14,535","27,039"
50,"2,411","3,263","5,674"
51,"1,799","2,268","4,067"
52,"1,391","1,808","3,199"
53,"1,255","1,472","2,727"
54,"1,534","1,783","3,317"
50-54,"8,390","10,594","18,984"
55,"1,642","2,141","3,783"
56,"1,742","2,315","4,057"
57,"1,675","2,789","4,464"
58,"1,128","1,422","2,550"
59,"1,296","1,886","3,182"
55-59,"7,483","10,553","18,036"
60,"1,911","2,756","4,667"
61,"1,518","2,029","3,547"
62,"1,119","1,354","2,473"
63,"1,256","1,456","2,712"
64,894,"1,247","2,141"
60-64,"6,698","8,842","15,540"
65,"1,250","1,840","3,090"
66,888,"1,152","2,040"
67,"1,303","1,949","3,252"
68,552,720,"1,272"
69,913,"1,325","2,238"
65-69,"4,906","6,986","11,892"
70,"1,219","1,950","3,169"
71,829,"1,067","1,896"
72,698,783,"1,481"
73,529,654,"1,183"
74,544,811,"1,355"
70-74,"3,819","5,265","9,084"
75,495,745,"1,240"
76,401,586,987
77,553,806,"1,359"
78,263,352,615
79,359,742,"1,101"
75-79,"2,071","3,231","5,302"
80,412,840,"1,252"
81,309,451,760
82,281,337,618
83,257,338,595
84,218,374,592
80-84,"1,477","2,340","3,817"
85,201,322,523
86,158,186,344
87,243,338,581
88,85,153,238
89,153,356,509
85-89,840,"1,355","2,195"
90,107,189,296
91,75,104,179
92,47,52,99
93,34,53,87
94,29,64,93
90-94,292,462,754
95,54,94,148
96,28,35,63
97,17,36,53
98,11,24,35
99,21,48,69
95-99,131,237,368
100+,67,107,174
